"id","name","name_short","starts_at_lt","ends_at_lt"
d4ab1323-25bd-4bd6-af2a-c9bbc0b3ecc9,Технологии межличностного взаимодействия в образовательном процессе,ТМВвОП,2021-09-01 00:00:00.000,2022-02-14 00:00:00.000
"4b74fa29-dd20-47a2-81fc-68a4e9cb516e",Технологии межличностного взаимодействия в образовательном процессе,ТМВвОП,2021-09-01 00:00:00.000,2022-02-14 00:00:00.000
"06d3bc9e-9824-478b-8c42-62a788ef228e",Технологии организации эффективного мышления,ТОЭМ,2022-02-14 00:00:00.000,2022-09-01 00:00:00.000
"104bba97-72a1-472b-ba8b-ed6ea00e9a52",Технологии подготовки к государственной итоговой аттестации по литературе в основной общеобразовательной школе,ТПГкАЛвООШ,2022-02-14 00:00:00.000,2022-07-18 00:00:00.000
"3ca6ad57-2b10-494f-bf14-383ab9a0f6cc",Технологии продаж,ТП,2021-09-01 00:00:00.000,2022-01-31 00:00:00.000
"7caa4714-a2ba-4dfc-82d0-5040a7c34d4e",Технологии разработки научно-исследовательских проектов,ТРНП,2022-03-28 00:00:00.000,2022-07-11 00:00:00.000
f5c9b9d7-c109-4b11-95ce-d854f961f8e2, Технологии сервисного обслуживания в туризме и индустрии гостеприимства (Введение в индустрию гостеприимства) (3 семестр),ТСОвТиИГ,2021-09-01 00:00:00.000,2022-01-24 00:00:00.000
b3fe9fcd-47e0-4586-ba89-43d236ba6cf0,Технологии сервисного обслуживания в туризме и индустрии гостеприимства (Информационные технологии в сервисе и туризме) (6 семестр),ИТвСиТ,2022-02-14 00:00:00.000,2022-08-08 00:00:00.000
"4e368290-8366-4c63-91a1-b0503b992b6c",Технологии сервисного обслуживания в туризме и индустрии гостеприимства (Организация обслуживания в индустрии гостеприимства) 5 семестр,ТСОвТиИГ,2021-09-01 00:00:00.000,2022-01-24 00:00:00.000
"6a8b3fb8-a782-4a0a-93ed-093658c5d789",Технологии сервисного обслуживания в туризме и индустрии гостеприимства (Сервисология и сервисная деятельность) (4 семестр),ТСОвТиИГ,2022-02-14 00:00:00.000,2022-08-08 00:00:00.000
"8f211c49-0dd1-4376-af16-8bd3e7dc46ae",Технологии цифрового творчества,ТЦТ,2021-09-01 00:00:00.000,2022-02-07 00:00:00.000
"9df3933e-3d19-48ae-9f41-a07905166fce",Технологии цифрового творчества,ТЦТ,2021-09-01 00:00:00.000,2022-02-07 00:00:00.000
"72ba6834-efe4-40d7-acbe-e6b32a038b32",Технологии человеко-машинного взаимодействия,Тех. ч-м в/д 2,2022-01-31 00:00:00.000,2022-07-18 00:00:00.000
"3c351de5-b44a-4ca5-be82-17ea98700ce7",Технологии человеко-машинного взаимодействия ,Тех. ч-м в/д 1,2021-09-01 00:00:00.000,2022-01-31 00:00:00.000
ffa8312f-17de-4e64-bc3c-bf7c98f5bfae,Технологии эффективного мышления,ТЭМ,2022-02-14 00:00:00.000,2022-07-11 00:00:00.000
"2146ffa2-7ed1-45ba-9308-825dff92c87a",Технологическая практика,ТП,2022-02-14 00:00:00.000,2022-07-25 00:00:00.000
"56a44b77-a2eb-4703-acbe-2d8f1f660aa5",Технологическая практика (на летних площадках),ТПнЛП,2021-09-01 00:00:00.000,2022-02-07 00:00:00.000
"7b86445e-4b7e-4145-b1f9-7112910dad85",Технологическая практика (на летних площадках),ТПнЛП,2022-02-14 00:00:00.000,2022-07-25 00:00:00.000
f7e439e7-e97a-4342-9b5b-2def6a486d3e,Технологическая практика (на летних площадках),ТПнЛП,2022-02-14 00:00:00.000,2022-07-18 00:00:00.000
