"id","name","starts_at_lt","ends_at_lt"
e9f79bdb-54e3-4d1f-99c9-78c688cd2cf0,ASP 06.06.01 Биологические науки: биотехнология (в том числе бионанотехнологии) ОФО (5 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"5349243e-1032-47ba-964d-a8054d0c662b",ASP 06.06.01 Биологические науки: биотехнология (в том числе бионанотехнологии) ОФО (6 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
f6fbc546-7c3c-467d-9656-e235fcdd87c0,ASP 06.06.01 Биологические науки: биохимия ОФО (3 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"2d91d4a5-dd7e-46f4-a792-fb3549ff12c0",ASP 06.06.01 Биологические науки: биохимия ОФО (4 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"61a1d2ff-d419-4989-93a0-ad448c28b731",ASP 06.06.01 Биологические науки: зоология ОФО (3 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"43aebff7-9c46-480c-abeb-e023070ac86f",ASP 06.06.01 Биологические науки: зоология ОФО (6 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
c069c0ad-0195-4336-b8bb-a4a5251ef00a,ASP 06.06.01 Биологические науки: ихтиология ОФО (6 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"4e0acb98-82f5-47f7-a299-7c307ae87545",ASP 06.06.01 Биологические науки: микология ОФО (5 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"62e958f9-1cd1-4242-92e9-3c68731239a3",ASP 06.06.01 Биологические науки: паразитология ОФО (3 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"59e92803-c085-428b-8225-cbba7a47d12d",ASP 06.06.01 Биологические науки: паразитология ОФО (4 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
eca675de-52f0-453a-b092-c7dfb4ed0b6a,ASP 06.06.01 Биологические науки: почвоведение ОФО (3 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"00651830-fced-49ce-a952-38e98a0e31df",ASP 06.06.01 Биологические науки: почвоведение ОФО (4 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"070855eb-e017-4e2c-ba56-f8855456919f",ASP 06.06.01 Биологические науки: физиология ОФО (5 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
fb30505d-2d9c-46f5-88ba-bb329dcae880,ASP 06.06.01 Биологические науки: физиология ОФО (6 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"6e3596fd-1467-4b87-8011-d30434bc1e68",ASP 06.06.01 Биологические науки: экология (биология) ОФО (3 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
